organization_name,type,governance_address,url,description
0x06Bdd90Cc7122D4531ab7CbB3C22D265Cb112ABD,governance,0x06bdd90cc7122d4531ab7cbb3c22d265cb112abd,https://client.aragon.org/#/0x06bdd90cc7122d4531ab7cbb3c22d265cb112abd,Aragon Governance
0x117d1F8CB4Bf6e74Bc5D667f15af7b810baCCCD6,governance,0x117d1f8cb4bf6e74bc5d667f15af7b810bacccd6,https://client.aragon.org/#/0x117d1f8cb4bf6e74bc5d667f15af7b810bacccd6,Aragon Governance
1HiveLLC,governance,1hivellc.aragonid.eth,https://client.aragon.org/#/1hivellc.aragonid.eth,Aragon Governance
1UP,governance,0xafdd1eb2511cd891acf2bff82dabf47e0c914d24,https://etherscan.io/address/0xafdd1eb2511cd891acf2bff82dabf47e0c914d24,Daostack Governance
4c4bf6a8,governance,4c4bf6a8.aragonid.eth,https://client.aragon.org/#/4c4bf6a8.aragonid.eth,Aragon Governance
6Ef0c0b0,governance,6ef0c0b0.aragonid.eth,https://client.aragon.org/#/6ef0c0b0.aragonid.eth,Aragon Governance
Aave,governance,aave.eth,https://snapshot.org/#/aave.eth,Snapshot Governance
Aave,governance,0x89c51828427f70d77875c6747759fb17ba10ceb0,,Assetsonly Governance
Aave,governance,aave,https://snapshot.org/#/aave,Snapshot Governance
Aavegotchi,governance,aavegotchi.eth,https://snapshot.org/#/aavegotchi.eth,Snapshot Governance
Aavegotchi,governance,aavegotchi.aragonid.eth,https://client.aragon.org/#/aavegotchi.aragonid.eth,Aragon Governance
Airalab,governance,aira.aragonid.eth,https://client.aragon.org/#/aira.aragonid.eth,Aragon Governance
AirSwap,governance,vote.airswap.eth,https://snapshot.org/#/vote.airswap.eth,Snapshot Governance
Alchemix,governance,alchemixstakers.eth,https://snapshot.org/#/alchemixstakers.eth,Snapshot Governance
Ampleforth,governance,0x8a994c6f55be1fd2b4d0dc3b8f8f7d4e3a2da8f1,https://etherscan.io/address/0x8a994c6f55be1fd2b4d0dc3b8f8f7d4e3a2da8f1,Compound Governance
Ampleforth,governance,ampleforth,https://snapshot.org/#/ampleforth,Snapshot Governance
Ampleforth,governance,ampleforthorg.eth,https://snapshot.org/#/ampleforthorg.eth,Snapshot Governance
APE DAO,governance,togetherstrong.eth,https://snapshot.org/#/togetherstrong.eth,Snapshot Governance
API3,governance,api3daov1.aragonid.eth,https://client.aragon.org/#/api3daov1.aragonid.eth,Aragon Governance
API3,governance,0xd9f80bdb37e6bad114d747e60ce6d2aaf26704ae,,Assetsonly Governance
ApocalypseDAO,governance,0x44d55a8492a90640dc6af013657eaf1ac5bc9548,https://etherscan.io/address/0x44d55a8492a90640dc6af013657eaf1ac5bc9548,Daostack Governance
Aragon Association DAO,governance,associationops.aragonid.eth,https://client.aragon.org/#/associationops.aragonid.eth,Aragon Governance
Aragon Network,governance,0x40204daacb1480019a7a6826c699903df94ee019,https://client.aragon.org/#/0x40204daacb1480019a7a6826c699903df94ee019,Aragon Governance
Aragon Network Budget,governance,budget.aragonid.eth,https://client.aragon.org/#/budget.aragonid.eth,Aragon Governance
Aragon One,governance,0x635193983512c621e6a3e15ee1dbf36f0c0db8e0,https://client.aragon.org/#/0x635193983512c621e6a3e15ee1dbf36f0c0db8e0,Aragon Governance
Aragon Trust,governance,trust.aragonid.eth,https://client.aragon.org/#/trust.aragonid.eth,Aragon Governance
ArbitrageDAO,governance,0xa8fc468da0417f71393523393bd7d57450143a62,https://etherscan.io/address/0xa8fc468da0417f71393523393bd7d57450143a62,Moloch / Daohaus Governance
Arca,governance,arca.aragonid.eth,https://client.aragon.org/#/arca.aragonid.eth,Aragon Governance
array.finance CCO,governance,0xff3f8c0b98454306fb0bda57e5ae38cbfa66cc0d,https://etherscan.io/address/0xff3f8c0b98454306fb0bda57e5ae38cbfa66cc0d,Moloch / Daohaus Governance
Arweavers,governance,arweavers.aragonid.eth,https://client.aragon.org/#/arweavers.aragonid.eth,Aragon Governance
Badger DAO,governance,badger.aragonid.eth,https://client.aragon.org/#/badger.aragonid.eth,Aragon Governance
Badger DAO,governance,badgerdao.eth,https://snapshot.org/#/badgerdao.eth,Snapshot Governance
