name,twitter_handle,twitter_url,follower_count,cname,categories,totalProposals,totalVotes,uniqueVoters,icons,tokens,type
1inch,1inch,https://twitter.com/1inch,1015150.0,1inch,['Protocol'],3.0,214.0,175.0,"[{'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/13469/large/1inch-token.png?1608803028'}, {'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/13469/thumb/1inch-token.png?1608803028'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/13469/small/1inch-token.png?1608803028'}]","[{'adapter': 'default', 'symbol': '1inch', 'network': 'ethereum', 'contractAddress': '0x111111111117dc0aa78b770fa6a738034120c302', 'marketPrices': [{'currency': 'usd', 'price': 1.71}]}]",DAO
Aave,AaveAave,https://twitter.com/AaveAave,428464.0,aave,['Protocol'],58.0,1790.0,890.0,"[{'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/12645/thumb/AAVE.png?1601374110'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/12645/small/AAVE.png?1601374110'}, {'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110'}]","[{'adapter': 'default', 'symbol': 'aave', 'network': 'ethereum', 'contractAddress': '0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9', 'marketPrices': [{'currency': 'usd', 'price': 167.95}]}]",DAO
Aavegotchi,aavegotchi,https://twitter.com/aavegotchi,92203.0,aavegotchi,['Protocol'],246.0,77452.0,6512.0,"[{'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/12467/large/ghst_200.png?1600750321'}, {'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/12467/thumb/ghst_200.png?1600750321'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/12467/small/ghst_200.png?1600750321'}]","[{'adapter': 'default', 'symbol': 'ghst', 'network': 'ethereum', 'contractAddress': '0x3f382dbd960e3a9bbceae22651e88158d2791550', 'marketPrices': [{'currency': 'usd', 'price': 2.06}]}]",DAO
Ampleforth,AmpleforthOrg,https://twitter.com/AmpleforthOrg,36734.0,ampleforth,['Protocol'],0.0,0.0,0.0,"[{'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/4708/thumb/Ampleforth.png?1561684250'}, {'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/4708/large/Ampleforth.png?1561684250'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/4708/small/Ampleforth.png?1561684250'}]","[{'adapter': 'default', 'symbol': 'ampl', 'network': 'ethereum', 'contractAddress': '0xd46ba6d942050d489dbd938a2c909a5d5039a161', 'marketPrices': [{'currency': 'usd', 'price': 0.941209}]}]",DAO
Armor,ArmorFi,https://twitter.com/ArmorFi,7958.0,armorfi,['Investment'],2.0,23.0,20.0,"[{'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/13748/large/armor.png?1611425846'}, {'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/13748/thumb/armor.png?1611425846'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/13748/small/armor.png?1611425846'}]","[{'adapter': 'default', 'symbol': 'armor', 'network': 'ethereum', 'contractAddress': '0x1337def16f9b486faed0293eb623dc8395dfe46a', 'marketPrices': [{'currency': 'usd', 'price': 0.03743832}]}]",DAO
B.Protocol,bprotocoleth,https://twitter.com/bprotocoleth,6589.0,bprotocol,['Protocol'],14.0,238.0,127.0,"[{'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/15110/thumb/66428641.jpg?1619749844'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/15110/small/66428641.jpg?1619749844'}, {'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/15110/large/66428641.jpg?1619749844'}]","[{'adapter': 'default', 'symbol': 'bpro', 'network': 'ethereum', 'contractAddress': '0xbbbbbbb5aa847a2003fbc6b5c16df0bd1e725f61', 'marketPrices': [{'currency': 'usd', 'price': 6.45}]}]",DAO
Balancer,BalancerLabs,https://twitter.com/BalancerLabs,121912.0,balancer,['Protocol'],82.0,26509.0,6454.0,"[{'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/11683/thumb/Balancer.png?1592792958'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/11683/small/Balancer.png?1592792958'}, {'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/11683/large/Balancer.png?1592792958'}]","[{'adapter': 'default', 'symbol': 'bal', 'network': 'ethereum', 'contractAddress': '0xba100000625a3754423978a60c9317c58a424e3d', 'marketPrices': [{'currency': 'usd', 'price': 13.9}]}]",DAO
Bancor,bancor,https://twitter.com/bancor,145462.0,bancor,['Protocol'],316.0,24512.0,947.0,"[{'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/14053/thumb/bancorvbnt_32.png?1614048819'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/14053/small/bancorvbnt_32.png?1614048819'}, {'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/14053/large/bancorvbnt_32.png?1614048819'}]","[{'adapter': 'default', 'symbol': 'vbnt', 'network': 'ethereum', 'contractAddress': '0x48fb253446873234f2febbf9bdeaa72d9d387f94', 'marketPrices': [{'currency': 'usd', 'price': 1.75}]}]",DAO
Bankless DAO,banklessDAO,https://twitter.com/banklessDAO,41675.0,banklessvault,['Media'],26.0,9522.0,2561.0,"[{'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/15227/large/j4WEJrwU.png?1622615796'}, {'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/15227/thumb/j4WEJrwU.png?1622615796'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/15227/small/j4WEJrwU.png?1622615796'}]","[{'adapter': 'default', 'symbol': 'bank', 'network': 'ethereum', 'contractAddress': '0x2d94aa3e47d9d5024503ca8491fce9a2fb4da198', 'marketPrices': [{'currency': 'usd', 'price': 0.051521}]}]",DAO
Blockzero Labs,blockzerolabs,https://twitter.com/blockzerolabs,12086.0,blockzerolabs,['Uncategorized'],38.0,1858.0,396.0,"[{'adapter': 'default', 'size': 'thumb', 'url': 'https://assets.coingecko.com/coins/images/10029/thumb/blockzero.jpg?1611110205'}, {'adapter': 'default', 'size': 'small', 'url': 'https://assets.coingecko.com/coins/images/10029/small/blockzero.jpg?1611110205'}, {'adapter': 'default', 'size': 'large', 'url': 'https://assets.coingecko.com/coins/images/10029/large/blockzero.jpg?1611110205'}]","[{'adapter': 'default', 'symbol': 'xio', 'network': 'ethereum', 'contractAddress': '0x0f7f961648ae6db43c75663ac7e5414eb79b5704', 'marketPrices': [{'currency': 'usd', 'price': 0.080824}]}]",DAO
