name,twitter_handle,twitter_url
1HiveLLC,1HiveOrg,https://twitter.com/1HiveOrg
1inch,1inch,https://twitter.com/1inch
1UP,1UP,https://twitter.com/1UP
Aave,AaveAave,https://twitter.com/AaveAave
Aavegotchi,aavegotchi,https://twitter.com/aavegotchi
AGAH DAO,itstheAGAH,https://twitter.com/itstheAGAH
Airalab,AIRA_Robonomics,https://twitter.com/AIRA_Robonomics
AirSwap,airswap,https://twitter.com/airswap
AladdinDAO,aladdindao,https://twitter.com/aladdindao
Alchemist,AlchemistDAO,https://twitter.com/AlchemistDAO
Alchemix,AlchemixFi,https://twitter.com/AlchemixFi
Ampleforth,AmpleforthOrg,https://twitter.com/AmpleforthOrg
APE DAO,ApeDao_,https://twitter.com/ApeDao_
API3,API3DAO,https://twitter.com/API3DAO
Aragon,AragonDao,https://twitter.com/AragonDao
Aragon One,AragonOneTeam,https://twitter.com/AragonOneTeam
Arca,ARCA_DAO,https://twitter.com/ARCA_DAO
Armor,ArmorFi,https://twitter.com/ArmorFi
array.finance CCO,arrayfinance,https://twitter.com/arrayfinance
B.Protocol,bprotocoleth,https://twitter.com/bprotocoleth
BaconDAO,BaconDAO_,https://twitter.com/BaconDAO_
Badger,BadgerDAO,https://twitter.com/BadgerDAO
Balancer,BalancerLabs,https://twitter.com/BalancerLabs
Bancor,bancor,https://twitter.com/bancor
Bankless DAO,banklessDAO,https://twitter.com/banklessDAO
BarnBridge,Barn_Bridge,https://twitter.com/Barn_Bridge
BitDAO,@BitDAO_Official,https://twitter.com/@BitDAO_Official
Blockzero Labs,blockzerolabs,https://twitter.com/blockzerolabs
BrightID,BrightIDProject,https://twitter.com/BrightIDProject
Buzzed Bear Hideout,BuzzedBears,https://twitter.com/BuzzedBears
bZx,bzxhq,https://twitter.com/bzxhq
Carbonswap,carbonswap_fi,https://twitter.com/carbonswap_fi
CENNZnet Grants DAO,CENNZnet,https://twitter.com/CENNZnet
CityDAO,CityDAO,https://twitter.com/CityDAO
Collab19,collab_19,https://twitter.com/collab_19
collectiveDAO,collectiveDAO,https://twitter.com/collectiveDAO
Compound,compoundfinance,https://twitter.com/compoundfinance
Conjure,ConjureFi,https://twitter.com/ConjureFi
Constitution,ConstitutionDAO,https://twitter.com/ConstitutionDAO
Convex Finance,ConvexFinance,https://twitter.com/ConvexFinance
CRE8RDAO,CRE8RDAO,https://twitter.com/CRE8RDAO
Cream Finance,creamfinance,https://twitter.com/creamfinance
Credmark,credmarkhq,https://twitter.com/credmarkhq
CrisisDAO,crisisdao,https://twitter.com/crisisdao
Cryptex,CryptexFinance,https://twitter.com/CryptexFinance
CryptoCorgis,CorgisCrypto,https://twitter.com/CorgisCrypto
Cura Dao,Cura_DAO,https://twitter.com/Cura_DAO
Curio,curio_invest,https://twitter.com/curio_invest
Cyber Congress,cyber_devs,https://twitter.com/cyber_devs
DAOhaus Second Story CCO,nowdaoit,https://twitter.com/nowdaoit
DAOSquare,DAOSquare,https://twitter.com/DAOSquare
Decentraland,decentraland,https://twitter.com/decentraland
Decred,DecredAustralia,https://twitter.com/DecredAustralia
DeFi Omega,DeFiOmega,https://twitter.com/DeFiOmega
DefiDollar DAO,defidollar,https://twitter.com/defidollar
Developer DAO,developer_dao,https://twitter.com/developer_dao
dHEDGE,dHedgeOrg,https://twitter.com/dHedgeOrg
Diamond Bank,diamondbankdao,https://twitter.com/diamondbankdao
Digital Reserve Currency,drctoken,https://twitter.com/drctoken
Doodles,doodledaonfts,https://twitter.com/doodledaonfts
dOrg,dOrg_tech,https://twitter.com/dOrg_tech
Dtravel,DtravelDAO,https://twitter.com/DtravelDAO
DXdao,DXdao_,https://twitter.com/DXdao_
dYdX,dydxprotocol,https://twitter.com/dydxprotocol
DynamicSetDollar,dsdproject,https://twitter.com/dsdproject
Earthfund,EarthFund_io,https://twitter.com/EarthFund_io
EmptySetDollar,emptysetdollar,https://twitter.com/emptysetdollar
Enzyme Finance,enzymefinance,https://twitter.com/enzymefinance
Ethereum Name Service,ensdomains,https://twitter.com/ensdomains
EulerBeats OG DAO,eulerbeats,https://twitter.com/eulerbeats
Farmgod DAO,farmgoddao,https://twitter.com/farmgoddao
Fei Money,feiprotocol,https://twitter.com/feiprotocol
Finance.Vote,financedotvote,https://twitter.com/financedotvote
Fingerprints DAO,FingerprintsDAO,https://twitter.com/FingerprintsDAO
flamingo,FLAMINGODAO,https://twitter.com/FLAMINGODAO
Forefront,forefront__,https://twitter.com/forefront__
Fraktal DAO,FraktalNFT,https://twitter.com/FraktalNFT
Friends With Benefits,FWBtweets,https://twitter.com/FWBtweets
Frontier,FrontierDAO,https://twitter.com/FrontierDAO
Game Mine Alliance,G_M_Alliance,https://twitter.com/G_M_Alliance
GCR DAO,Globalcoinrsrch,https://twitter.com/Globalcoinrsrch
Gitcoin,gitcoin,https://twitter.com/gitcoin
Gnosis,gnosisPM,https://twitter.com/gnosisPM
GoodDollar,gooddollarorg,https://twitter.com/gooddollarorg
Governor DAO,Governor_DAO,https://twitter.com/Governor_DAO
Hakt DAO,HaktDAO,https://twitter.com/HaktDAO
HausDAO,nowdaoit,https://twitter.com/nowdaoit
HoneyDAO,honeydao_,https://twitter.com/honeydao_
Idle,idlefinance,https://twitter.com/idlefinance
Index,Index_DAO,https://twitter.com/Index_DAO
Index Coop,indexcoop,https://twitter.com/indexcoop
Indexed,ndxfi,https://twitter.com/ndxfi
Instadapp,Instadapp,https://twitter.com/Instadapp
Inverse Finance,InverseFinance,https://twitter.com/InverseFinance
JammSession,JammSession_,https://twitter.com/JammSession_
Jenny Metaverse DAO,JennyMetaverse,https://twitter.com/JennyMetaverse
