id,framework,version,functionName,functionInputs,transactionHash,contractsCreated,is_relevant
aragon_0.6_7,aragon,aragon_0.6,newInstance,"{'holders': '[0xfe507b1930a9460762f1d5b815acf3e725697c6b]', 'minAcceptanceQuorum': '10000000000000000', 'name': 'genesis', 'supportNeeded': '500000000000000000', 'tokens': '[1000000000000000000]', 'voteDuration': '86400'}",0xd4515a0723a7bb521c0465b549973c04cb281c64fc2dc7091edf88ec821e1dfb,"['0x8a83d4bce45b4c4f751f76cf565953d1e4a3bf0a', '0x2238c76e47988cc25780ecdcac42916a317c6168', '0x3b8e7a99077f8fe1803c2234e843deaa32984da2', '0x9058a97f27925cd6298224879c912e9b2343fdeb', '0x56ee376956374d70886049fa0a86727481319501', '0x98516c82bda8b3de6e2670b718848949ae6a4643', '0xef6faa213bd0a63f871152532c03c652099a1394']",True
aragon_0.6_8,aragon,aragon_0.6,newInstance,"{'name': 'j', 'neededSignatures': '1', 'signers': '[0xfe507b1930a9460762f1d5b815acf3e725697c6b]'}",0x6dd30ccc3bacac91bc95195edbfadb75563c19d649f1c754dd6003e154b58112,"['0x431c7615e4cdba5ffafaff45297f516beebf9c73', '0xaadb4b169f922f0cb82cfa0545d2dcf72090b564', '0xadd7a08bf001e7343037a0e18465d4f297325e05', '0x1b48d1db979fd6719a2207ce2dbf1c7cf6487a64', '0x060e349c33a7d730993d87c2f00e959d78730899', '0x1e5393e410bc0e7dccf9454e57157f03f62d5fb1', '0x0c30fada57e7da3b2afd2d0f7051199a7fb8b360']",True
aragon_0.6_9,aragon,aragon_0.6,newInstance,"{'holders': '[0x625236038836cecc532664915bd0399647e7826b]', 'minAcceptanceQuorum': '10000000000000000', 'name': '1hive', 'supportNeeded': '500000000000000000', 'tokens': '[1000000000000000000]', 'voteDuration': '86400'}",0x69cc7535165dcf254a66b7128e83c0ef40aec3e754b26a21f181c5f0b957c9f9,"['0xdaf9bec2fdca88c43f587781c73f4d2ae049f48a', '0xf2706f2940a3149cc19754fd9e816a3c47459270', '0xcab6f83c5969bf0bc6578af60247f48f5c5e00b9', '0x1a84085a3e019b542857fc14a9c0c8833439d0ed', '0x9213737fbb72d8f924fca55d508ae2c004413d64', '0x5ad3c83c49d5f0e0c2a3b3520bf2170c3272ffa8', '0xbc5231084d86d26a09a2c63100431da7b63d6a5f']",True
aragon_0.6_10,aragon,aragon_0.6,newInstance,"{'name': 'bingen', 'neededSignatures': '1', 'signers': '[0x3fdfafe175c4dbbdd5ea0f6307d6f83b42b068e5, 0xa7f0c1ac863f48c742c82ca376e5b99eb9fabc75]'}",0x03342b12195d48584b46997ab6ece00c8188eb813a1faa7a7e1320228f4d9ad5,"['0xdfea5f083940d2e5252fe237ac2a69e80f100754', '0xdfa8996c4190a6948f253110f249de013f5d3e44', '0x5156d9b2568af633f32b36cf4fa7d93ea84c73e6', '0x748f78637b16316ef5d1d008e49f61227ebe2b9d', '0xe8dd0134984388ce277750331ed503d7523c1d4b', '0x9c99e379f2521d097593b4420063a7b6b032fdef', '0xd95aaa04a727c76ec69371c610bd54218227dd54']",True
aragon_0.6_11,aragon,aragon_0.6,newInstance,"{'holders': '[0x625236038836cecc532664915bd0399647e7826b]', 'minAcceptanceQuorum': '10000000000000000', 'name': 'consensys', 'supportNeeded': '500000000000000000', 'tokens': '[1000000000000000000]', 'voteDuration': '86400'}",0x289eac6756609ae018c4b6ff287173637c2a3b3f67b81e603339be8f2d0afc76,"['0x90a2aa12d5e04b5894234dcaf29cf12db500d97e', '0xeb938e8cf6e0482a6b7c2f93ccad3eb4d31be000', '0x7c93e220b4fb3a10fda106843aad3927895190c1', '0x5220cf349ba754b44d31cd2e2a69f07f6ee68f81', '0xce17d9587081314e29cc3189181e4898ed2b67a1', '0xf5b0bdb416c5314310234c7ab82c01a844394ae4', '0xff5727830399819b8e03f30c2a2b0dc170d5f204']",True
aragon_0.6_12,aragon,aragon_0.6,newInstance,"{'holders': '[0x6df927e5555eaac1aa90994a2906a7b916fff4d8]', 'minAcceptanceQuorum': '150000000000000000', 'name': 'maria', 'supportNeeded': '510000000000000000', 'tokens': '[1000000000000000000]', 'voteDuration': '259200'}",0x81592401bd9d642b0b7a5eecdecbaffcaf4b393e22b89d40b5c61a422637a259,"['0xa3ff2560ad449a0cda0adf720b7f80030917d05b', '0x785e428fae1c22e1721ba78a2a28fae5d6b9d14a', '0x79850aba59db7e58f9f0c3067af4b23872a456fb', '0xc26757da350966d6fe95256c490c32f8f82620bc', '0x2c73f0a53d4478efbabaf39a801d4acd7dc4ece8', '0x33110dd92ba3e61d2ec21b2b0e9d2d0b539f5835', '0xb086016d28632250cc736ee9fd9b44678731caa9']",True
aragon_0.6_13,aragon,aragon_0.6,newInstance,"{'name': 'ryhope', 'neededSignatures': '2', 'signers': '[0x8873b045d40a458e46e356a96279ae1820a898ba, 0xa782acd9713eb3bf9229ba83141e661608b6cf5e, 0x9e889af7167f7dcbbb5cdafe947f1392b31b2357]'}",0x682a6ecf129c2c8c7fa41018190272c1d180fbd2efa24a71125f5e6b1e4c886e,"['0x81f40a2090cc690b9765a33f1e95616da3c0b48d', '0x49f74189baf62abe992e5e66d3e957caa8e3701e', '0xd3561e5b510a030792e6c6956a1f378d51da9642', '0xfdea102251f4b9a8fbc3c89fdf8dc8ef23600144', '0x938d42c4dbe79f5236ff38e39d3ef331ac1d4fb5', '0x174b9867e82bc76f9409382531217c7f8ce0ff25', '0xe283b825ec879a212b38a1653c13647526fc11f8']",True
aragon_0.6_14,aragon,aragon_0.6,newInstance,"{'name': 'alexa', 'neededSignatures': '1', 'signers': '[0xd155b73a3777011bf8a80051652db01fabe44a82]'}",0x333cb0af7ba1de76d9b99c01c959df6e9dddfd6ac2589609573f35a6f719d54f,"['0xa9c55f3761d9109134014075f5b5c93191246325', '0xb547528111666654b0f220691ad74880ce76d3a5', '0xeb144050302d8a13d7a1f406edf84c3536d55159', '0xc8ab3769b98550aad4e4bb03f62acbcea5e0c8e9', '0xcaa0da5fa264b48c8673278d0a38402ce1f1f106', '0xff74b23e08a3a66b6daa96f1e6659ab7c845ac3b', '0x0fdfa7d5243ddde50a6f7169cf2d892144f15285']",True
aragon_0.6_15,aragon,aragon_0.6,newInstance,"{'holders': '[0xca1f6d7d8e902617f8bdd87866e00f9844c40a77]', 'minAcceptanceQuorum': '150000000000000000', 'name': 'designdao', 'supportNeeded': '500000000000000000', 'tokens': '[1000000000000000000]', 'voteDuration': '172800'}",0x238ca199686969efa4b43d582a7712f4db50c2c82c8352636c63a6a41ac4034c,"['0xd6ca28de548abc025fc6ed9ce2a8c89c8467c51f', '0xd439dbcfd4f19251d32b7518c61e61ec9df0ff10', '0xc9c93d71da94762abea8c5858d8597add9fc8bda', '0x6d62b500c5d258a8f89af81716f7d0efb41dface', '0xbd43d9e9a959b2107cde49051dc9d6ce9ce22788', '0x6a5a86db1a7489b8bb5d0a57f00cbd9d7f44b6f0', '0x9487d0f8a5a344b5415a97ede0801554b327c0fb']",True
aragon_0.6_16,aragon,aragon_0.6,newInstance,"{'holders': '[0x3e71dabc6e05755dc3d45175deacabf6ea6b59c9]', 'minAcceptanceQuorum': '250000000000000000', 'name': 'luis', 'supportNeeded': '500000000000000000', 'tokens': '[1000000000000000000]', 'voteDuration': '604800'}",0x08d01b598b3c158d33008e230eb40e10311549412b62ea192821e97386aad4a7,"['0xf4353b07aa47dac0eaf3b614a70b0488961d7ad3', '0x76b747077763c2328f2524b294dc1d32c973502b', '0xe77724a6a8276c073066d89796f3375f591553ee', '0x0554a8e81d6bdcc7b30e01a5016124e46df7961e', '0x4ff5844b32e7f024fefcca4a7cfebcc12b357777', '0xef0cc2dd5cfb670bc866dd5d2a84946c2f8546a4', '0x094f832d34a07d576d26a7c91237083c712157f5']",True
